Cr,1/T,ln(t),DO,weightgain
17.269,0.00129341,5.298317367,8,-1
17.269,0.00129341,5.598421959,8,-1
17.269,0.00129341,6.214608098,8,-1
17.269,0.00129341,5.940171253,8,-1
17.269,0.001214845,6.214608098,8,1
17.269,0.001214845,4.605170186,8,1
18.0596,0.00129341,6.907755279,10,-1
18.0596,0.00129341,7.170119543,10,-1
18.0596,0.00129341,7.60090246,10,1
18.0596,0.001145279,5.768320996,25,1
18.0596,0.001145279,6.445719819,25,1
18.0596,0.001145279,6.907755279,25,1
18.2693,0.001485553,5.541263545,8,-1
18.2693,0.001485553,3.688879454,8,-1
18.2693,0.001485553,6.214608098,8,-1
18.2693,0.001485553,6.363028104,8,-1
18.2693,0.00129341,6.214608098,8,-1
