deta,G
7.6191,167.9
7.9975,170.7
7.4631,184
7.7103,169.1
13.4217,113.1
13.4764,109.7
7.4743,180
7.3063,176
7.5078,172
14.0103,104.4
14.056,98.2
14.1853,102.2
7.6362,178
7.2831,174
11.6625,115.3
12.408,113.8
12.5231,112.8
12.1483,118.4
